TRTID10,state,county,tract,cbsa10,POP70SP1,INCPC70
34003023501,NJ,Bergen County,Census Tract 235.01,35620,2811.572769,4910.871
34003023502,NJ,Bergen County,Census Tract 235.02,35620,3400.427228,4910.87
34003023601,NJ,Bergen County,Census Tract 236.01,35620,2885.776112,3905.863
34003023602,NJ,Bergen County,Census Tract 236.02,35620,4663.073189,3905.863
34003024100,NJ,Bergen County,Census Tract 241,35620,5779.491669,6868.267
34003024200,NJ,Bergen County,Census Tract 242,35620,2934.173201,6868.938
34003025100,NJ,Bergen County,Census Tract 251,35620,7178.999985,5816.777
34003025200,NJ,Bergen County,Census Tract 252,35620,6733.058659,5618.082
34003026100,NJ,Bergen County,Census Tract 261,35620,4763.756465,6691.617
34003026200,NJ,Bergen County,Census Tract 262,35620,6767.678287,6691.617
34003027000,NJ,Bergen County,Census Tract 270,35620,4184.196603,9180.96
34003028001,NJ,Bergen County,Census Tract 280.01,35620,5593.778458,6667.164
34003028002,NJ,Bergen County,Census Tract 280.02,35620,3006.953928,6667.165
34003029100,NJ,Bergen County,Census Tract 291,35620,2267.403509,5250.32
34003029200,NJ,Bergen County,Census Tract 292,35620,6709.669764,5250.297
34003030100,NJ,Bergen County,Census Tract 301,35620,5304.735,4992.719
34003030200,NJ,Bergen County,Census Tract 302,35620,7150.359672,4524.574
34003030300,NJ,Bergen County,Census Tract 303,35620,4688.900321,4156.249
34003030400,NJ,Bergen County,Census Tract 304,35620,8137.000022,4535.088
34003031100,NJ,Bergen County,Census Tract 311,35620,4788.000017,4241.896
34003031200,NJ,Bergen County,Census Tract 312,35620,5107.911242,4761.989
34003031300,NJ,Bergen County,Census Tract 313,35620,6464.089014,4542.945
34003031400,NJ,Bergen County,Census Tract 314,35620,6470.999998,4910.54
34003032102,NJ,Bergen County,Census Tract 321.02,35620,2693.369692,6312.067
34003032103,NJ,Bergen County,Census Tract 321.03,35620,4379.347578,6308.087
34003032104,NJ,Bergen County,Census Tract 321.04,35620,2973.642245,6308.087
34003032201,NJ,Bergen County,Census Tract 322.01,35620,887.1117996,6320.428
34003032202,NJ,Bergen County,Census Tract 322.02,35620,822.5524333,6320.428
34003033100,NJ,Bergen County,Census Tract 331,35620,5115.49284,5036.468
34003033200,NJ,Bergen County,Census Tract 332,35620,3202.999984,5276.641
34003033300,NJ,Bergen County,Census Tract 333,35620,2983.000099,5679.68
34003034000,NJ,Bergen County,Census Tract 340,35620,8659.939529,5289.668
34003035100,NJ,Bergen County,Census Tract 351,35620,7069.550361,7622.519
34003035200,NJ,Bergen County,Census Tract 352,35620,6283.544023,7626.066
34003036100,NJ,Bergen County,Census Tract 361,35620,2675.732897,4604.88
34003036200,NJ,Bergen County,Census Tract 362,35620,3082.773011,4589.811
34003037100,NJ,Bergen County,Census Tract 371,35620,6269.999995,5607.193
34003037201,NJ,Bergen County,Census Tract 372.01,35620,5339.090928,5229.504
